NumQubits;SizeOfDMat;SizeOfSMat;SizeOfFMat;CreationTimeDMat;CreationTimeSMat;CreationTimeFMat;AccessTimeDMat;AccessTimeSMat;AccessTimeFMat
11;67108976;2621552;136;142129152;47042304;0;621564416;30012250368;15999527168
12;268435568;589936;104;366332672;9008128;0;2431207680;119676663040;56208035584
11;67108976;2621552;136;134130432;48043520;1001216;635576832;29923169536;16066587904
12;268435568;589936;104;371337216;8007424;0;2436211712;119389402880;56145978880
11;67108976;2621552;136;139126528;48043776;0;623566080;29818074112;16007534336
12;268435568;589936;104;369335296;8007168;0;2424200960;119521522688;56238062336
11;67108976;2621552;136;136131584;48043776;0;623565824;29809065984;16005532416
12;268435568;589936;104;369335296;8007168;0;2502272000;119247273216;56529327104
11;67108976;2621552;136;141135872;50045696;0;622565120;29812068608;15965496320
12;268435568;589936;104;371337216;8003584;0;2447222016;119334353152;56494294784
11;67108976;2621552;136;137131008;48044288;0;617559808;29912159488;15992520960
12;268435568;589936;104;368334592;8007424;0;2460233728;119334352640;56299118080
11;67108976;2621552;136;140126976;48043776;0;603547904;29885134848;16036560896
12;268435568;589936;104;373339136;9008384;0;2439214848;119367382528;56180009728
11;67108976;2621552;136;139126528;48043776;0;612556032;29763024128;16021548288
12;268435568;589936;104;374339840;9008128;0;2442216704;119245271808;56338153472
11;67108976;2621552;136;144130816;49044224;0;614558208;29864115712;15996524544
12;268435568;589936;104;371337216;8007424;0;2498268416;119416427008;56076916480
11;67108976;2621552;136;141127936;48043520;0;630572544;29896144896;15987516160
12;268435568;589936;104;369335296;9007872;0;2442217472;119370385152;56436242688
11;67108976;2621552;136;141137152;48043264;0;612548096;29896152832;16035559936
12;268435568;589936;104;370327808;8007168;0;2456230144;119647636992;56072912640
11;67108976;2621552;136;135129344;48043776;0;607551488;29694962176;16082602752
12;268435568;589936;104;376341504;8007424;0;2450224640;119353369600;56422230272
11;67108976;2621552;136;140134656;47042816;0;614548992;29755025920;16052575232
12;268435568;589936;104;369335552;9008128;0;2439214848;119577564416;56549345792
11;67108976;2621552;136;141128704;47051520;0;624567040;29826072576;16130654464
12;268435568;589936;104;374339584;8007168;0;2452226560;119420430592;56440246272
11;67108976;2621552;136;139134976;47042816;0;614557952;29808065024;15961483776
12;268435568;589936;104;375341056;9007872;0;2442225664;119537537024;56498298880
11;67108976;2621552;136;134129664;46041856;0;619562752;29808064768;15971501824
12;268435568;589936;104;376341504;9008128;0;2428204544;119255280640;56347161856
11;67108976;2621552;136;140127232;47042816;0;612556032;29810066944;16004531712
12;268435568;589936;104;374339840;9008128;0;2418195712;119211240704;56505305600
11;67108976;2621552;136;139126272;48043776;0;629571328;29796054272;15988517120
12;268435568;589936;104;380336640;9016832;0;2440215808;119446454272;56340155392
11;67108976;2621552;136;138133248;49044736;0;602546944;29825080320;15971501824
12;268435568;589936;104;374339840;9008128;0;2441216512;119520521472;56191020032
11;67108976;2621552;136;136123392;47042816;0;628570368;29786045184;15954486016
12;268435568;589936;104;373339136;10008832;0;2487258368;119260286208;57040790784
11;67108976;2621552;136;138125312;49044480;0;618561792;29823078400;16038562816
12;268435568;589936;104;377342464;9008384;0;2436211968;119525526016;56510310144
11;67108976;2621552;136;140139008;48043520;0;598543360;29775034880;16017543680
12;268435568;589936;104;379344384;8007424;0;2513282048;119156190720;56404213504
11;67108976;2621552;136;139134976;47042816;0;636577792;29804061440;16016542720
12;268435568;589936;104;380345344;8007168;0;2437213696;119473478144;56266087936
11;67108976;2621552;136;136131072;47042816;0;622565376;29787045888;15955486976
12;268435568;589936;104;378343680;8007168;0;2432208384;119493497088;56300119040
11;67108976;2621552;136;139126272;48043776;0;617560576;29856108544;16015541760
12;268435568;589936;104;376341504;9008384;0;2433209344;119492496128;56377189120
11;67108976;2621552;136;141128192;47042560;0;614558208;29887136512;16016542720
12;268435568;589936;104;379344384;8007424;0;2451217152;119259292672;56367180032
11;67108976;2621552;136;139134976;49044480;0;620563456;29832086528;16003531008
12;268435568;589936;104;377342720;9008640;0;2428204800;119597591296;56369181952
11;67108976;2621552;136;135127040;47042816;0;631573248;29825080576;15971501568
12;268435568;589936;104;377342464;8999680;0;2462235648;119409420800;56403212544
11;67108976;2621552;136;141127424;49044224;0;613557248;29834088448;16004531968
12;268435568;589936;104;377342464;9007872;0;2459232768;119372387072;56648435456
11;67108976;2621552;136;139134976;49044480;0;618561792;29817072896;16132639232
12;268435568;589936;104;383348736;11010304;0;2449231872;119405417216;56297116160
11;67108976;2621552;136;166150912;56050944;0;616559872;29872123136;16062584576
12;268435568;589936;104;366332672;9017088;0;2417195008;119534534400;56559354112
11;67108976;2621552;136;137124352;52047360;0;617560832;29748010240;15982511872
12;268435568;589936;104;374340096;8007168;0;2438213888;119056099840;56483285504
11;67108976;2621552;136;138125312;47042816;1000704;608552704;29884133888;15965496320
12;268435568;589936;104;373338880;9008384;0;2516284672;119076118016;56467270912
11;67108976;2621552;136;138133760;48043520;0;611555584;29984224768;15963494400
12;268435568;589936;104;375332352;8007424;0;2440215552;119066108928;56335150848
11;67108976;2621552;136;139125760;47042560;0;616559872;30002241280;16088608000
12;268435568;589936;104;366332928;9007872;0;2451225856;119657646080;56515314432
11;67108976;2621552;136;138134016;47042560;0;618561536;29930175744;15973503488
12;268435568;589936;104;373330688;9008128;0;2488259328;119253278976;55420806656
11;67108976;2621552;136;145139712;49044480;0;628570880;29967209472;15977507072
12;268435568;589936;104;392347648;9008384;0;2442217728;118491587072;55789656064
11;67108976;2621552;136;129125888;48043520;0;619562752;29739002112;15926460672
12;268435568;589936;104;362328832;9008128;0;2451225600;118352461056;56152985344
11;67108976;2621552;136;143130112;49044736;0;610554368;29961203968;15784331776
12;268435568;589936;104;365331712;9008128;0;2483254528;118919976192;56356170240
11;67108976;2621552;136;147133696;49044736;0;624558592;30029274624;15836378368
12;268435568;589936;104;365331712;9008128;0;2505274624;118845908992;55814678528
11;67108976;2621552;136;134121984;48043776;0;633583872;29986226688;15864404736
12;268435568;589936;104;364330752;9008384;0;2450224640;119019066112;56237061888
11;67108976;2621552;136;133120768;49044480;0;623566336;29972213760;15950482944
12;268435568;589936;104;369326592;8007424;0;2473236480;118785863680;56318135296
11;67108976;2621552;136;144130816;50045440;0;645586176;30058291968;15832375552
12;268435568;589936;104;372329472;8007168;0;2512281088;118877937920;55970820352
11;67108976;2621552;136;143138304;50045440;0;616559872;30107336448;15965496320
12;268435568;589936;104;368325888;9008128;0;2450232832;119172197888;56573366784
11;67108976;2621552;136;141127680;48043008;0;618561792;32897879552;15905441024
12;268435568;589936;104;361319168;9008128;0;2505274880;118821879808;56111955456
11;67108976;2621552;136;135122432;48043776;0;624567296;30017254400;15874413824
12;268435568;589936;104;366323968;9008128;0;2453227520;118702778880;56172002816
11;67108976;2621552;136;138125312;50045696;0;622564864;30069302016;15918453760
12;268435568;589936;104;363321088;9008384;0;2551316480;118888947968;56397199616
11;67108976;2621552;136;143130624;49044480;0;623574784;30272486400;15965496320
12;268435568;589936;104;359317504;9008384;0;2496266752;118735809024;56489290752
11;67108976;2621552;136;140127744;48042752;0;624567296;30015252992;15923458048
12;268435568;589936;104;366323968;8007168;0;2519287552;118624708096;55842703616
11;67108976;2621552;136;136123648;48044032;0;648588544;29893142272;15977498624
12;268435568;589936;104;378343424;9008384;0;2436212224;118422524416;56146980096
11;67108976;2621552;136;135130880;48043776;0;623565824;29964206848;15882420992
12;268435568;589936;104;369335296;9007872;0;2512281088;118230349824;56119955456
11;67108976;2621552;136;137124352;48043776;0;630572288;30081313280;15900437248
12;268435568;589936;104;366323712;8015616;0;2542308096;118238357504;55777644544
11;67108976;2621552;136;139134720;49044480;0;624567040;29951194880;15943476224
12;268435568;589936;104;372329472;9007872;0;2436212224;118470568192;55900756480
11;67108976;2621552;136;136131584;50045440;0;631573504;29878128384;15885423616
12;268435568;589936;104;370327552;9008384;0;2499269120;118131259904;56202030336
11;67108976;2621552;136;144130816;48043520;0;615558912;29976217600;15814359040
12;268435568;589936;104;369326080;8007168;0;2519287552;118386491904;56020865280
11;67108976;2621552;136;142129152;48043520;0;629571840;29981221888;16045569024
12;268435568;589936;104;368325632;8007168;0;2482253824;118323434496;56619408896
11;67108976;2621552;136;142129152;49044736;0;605549824;29779038464;16023548928
12;268435568;589936;104;370327552;8007168;0;2464237312;119015062528;56147981056
11;67108976;2621552;136;134129920;48043520;0;615558912;29771031296;15940473600
12;268435568;589936;104;375340800;9008128;0;2465238272;118298412032;55679555584
11;67108976;2621552;136;140135680;50045696;1000704;614558208;29723988480;15878417152
12;268435568;589936;104;370327552;9008384;0;2470242816;118374481152;56208035328
11;67108976;2621552;136;140135936;47042560;0;628570624;29894142976;15942475520
12;268435568;589936;104;372329216;8007680;0;2433209088;118517619200;56116952832
11;67108976;2621552;136;141128448;47042560;0;612556288;29975216896;15815359744
12;268435568;589936;104;370336512;9007872;0;2445220096;118425527552;56010856192
11;67108976;2621552;136;136123648;48043776;0;622565120;29964206592;15887425536
12;268435568;589936;104;373330432;8007168;0;2456230144;118639721984;56626415104
11;67108976;2621552;136;140135936;49044736;0;610554368;29966208512;15856397312
12;268435568;589936;104;374331136;8015360;0;2507276800;118530622464;55903750912
11;67108976;2621552;136;144130304;49044992;0;617561088;29979228160;15922457344
12;268435568;589936;104;378334720;9008384;0;2433209344;118584671744;56205032704
11;67108976;2621552;136;141127680;47042560;0;611555328;29978219264;15918453504
12;268435568;589936;104;374332160;8007168;0;2467240448;118492588032;56320137216
11;67108976;2621552;136;137124608;49044736;0;621564416;29958201088;15981510912
12;268435568;589936;104;375332096;9008128;0;2438213888;118511605504;56010856192
11;67108976;2621552;136;144130816;47042560;0;644585216;29948192256;15898435328
12;268435568;589936;104;376333312;9008128;0;2479251200;118804871680;55920774656
11;67108976;2621552;136;137124608;47042816;0;654594304;30160385024;15884422656
12;268435568;589936;104;367324672;8007424;0;2519287296;118495590912;56058899968
11;67108976;2621552;136;140126976;47042560;0;625568256;29976217600;15858398976
12;268435568;589936;104;373338880;9007872;0;2466239232;118658738944;56105942784
11;67108976;2621552;136;132128256;48043776;0;622565376;29991231232;15852393472
12;268435568;589936;104;373330432;9008128;1000960;2499269120;118634717440;55766634752
11;67108976;2621552;136;141127936;47042816;0;619562496;29925171200;15903440128
12;268435568;589936;104;373330176;8007168;0;2540306688;118419521792;56829599744
11;67108976;2621552;136;140127232;48043520;0;625568256;29911158272;16004531712
12;268435568;589936;104;371328512;8007424;0;2512281088;118598684672;56105942784
11;67108976;2621552;136;143129856;48043776;0;620563712;29919165440;15865405440
12;268435568;589936;104;377334016;7998720;0;2582345216;118523616512;56125960704
11;67108976;2621552;136;135122944;47042816;0;612556032;29938183168;15935469056
12;268435568;589936;104;372329472;9016832;0;2510279424;118702778880;56341156352
11;67108976;2621552;136;140134912;50045440;0;611555072;29904152320;15873412608
12;268435568;589936;104;366324480;8007168;0;2499269120;118563652864;55966816512
11;67108976;2621552;136;141128192;48043520;0;604540928;29879137536;15861401600
12;268435568;589936;104;375340800;9008128;0;2524291840;118503598080;55995842816
11;67108976;2621552;136;140130560;48042752;0;629571584;30007245824;15890428160
12;268435568;589936;104;373330176;8015872;0;2457231104;118599685376;56186015488
11;67108976;2621552;136;140127232;47042816;0;616559872;29954197504;15949481728
12;268435568;589936;104;372338176;9008384;0;2434209280;118300413696;56177007104
11;67108976;2621552;136;141128192;48043520;0;638579712;29899147520;15887425536
12;268435568;589936;104;375332096;9016832;0;2463236608;118580668160;56158990848
11;67108976;2621552;136;141136896;48043776;0;619562496;30023260160;16031556608
12;268435568;589936;104;371328000;9016832;0;2491261952;118704780800;55893750016
11;67108976;2621552;136;141128192;47042560;0;620563456;29942186496;15951483904
12;268435568;589936;104;401364224;9008128;0;2454228224;118382488320;56444249856
11;67108976;2621552;136;137124608;52047360;0;624567552;29910157056;15895432704
12;268435568;589936;104;371328256;10009088;0;2433218560;118723798016;55934787328
11;67108976;2621552;136;138125056;47042560;0;626568960;29810066688;15943476480
12;268435568;589936;104;375332096;9008896;0;2583345664;119659648000;56027871744
11;67108976;2621552;136;137133312;47042560;0;615559936;29832085760;15999527168
12;268435568;589936;104;368325632;9016832;0;2461234688;119674661632;56309127424
11;67108976;2621552;136;139133952;47042560;0;631573760;29835089408;15906442496
12;268435568;589936;104;371328512;9008128;0;2463236608;120667554048;55959819008
11;67108976;2621552;136;133127936;47042816;0;610554112;29842095872;15945478144
12;268435568;589936;104;372329472;8007424;0;2474246656;119430439680;56379190784
